Customer,Customer Number,City Code
A Superior System,10000453,1
A&B,10000456,76
A&G,10000457,2
A&R Partners,10000458,43
A1 Datacom Supply,10000461,77
a2i,10000462,44
A2Z Solutions,10000466,94
A-2-Z Solutions,10000469,75
Aadast,10000471,3
Aaron D. Meyer & Associates,10000472,95
Aaron Products,10000473,96
A-ARVIN Laser Resources,10000474,42
AA-Wizard,10000475,62
Abacus Niagara,10000478,63
Abbotsbury,10000480,97
Abbott,10000481,45
Aberdeen,10000486,4
ABI TruTrac,10000488,5
AboveNet,10000496,6
Abplus,10000497,7
ABSolute,10000499,8
Absolute Magic,10000501,9
Abstract,10000502,10
AC Exchange,10001103,11
AC&E,10001263,12
Acacia,10001784,13
Acara,10001786,14
Acc Tonec,10001818,15
Accel Partners,10002114,16
Accent Interactive,10002115,17
Accent Systems,10002117,18
Access Point,10002128,19
AccessWare,10002136,20
Accidental,10002137,21
ACCPAC International,10002138,22
Accrue,10002139,23
Accton,10002140,24
AccuCom,10002142,25
ACCUCOMP,10002144,26
AccuLAN,10002149,27
Accumedic Systems,10002150,28
Ace Equipment,10002153,29
Acer,10002154,30
ACES Research,10002155,31
ACI,10002159,32
ACME Laboratories,10002161,33
ACRON,10002220,78
ACS,10002240,84
ACS  Shop,10002244,64
Acsior,10002412,34
ACT Laboratory,10002489,65
Action Systems,10002501,35
ActionWorld,10002506,98
ActivCard,10002520,36
Active,10002526,37
Active Data,10002709,99
Active Network Systems,10002746,46
Active Voice,10002765,66
ActiveC,10002964,79
activeDesign,10002969,85
Ad Agency,10003554,39
Ad-vantage,10003687,38
Age,10003720,86
Associates,10003749,40
Bechtel Corporation,10003795,67
"Beckman Instruments, Inc.",10003857,41
Beech Aircraft Corporation,10003882,1
Bell Canada Enterprises,10004207,2
Bendix Corporation,10004255,3
Benedict,10004256,94
Berkeley Design,10004302,68
Besicorp,10004516,4
Best Way! Imaging,10004602,5
Betacorp,10005006,95
Bezeq,10005043,6
BF Datacom,10005099,7
BH Feldman Consulting,10005236,8
Bibb Manufacturing Company,10005376,9
BidCast,10005620,10
Bien Logic,10005688,11
Big,10005810,12
Big Mountain Multi,10005861,13
Big Picture Technologies,10005919,14
Big Planet,10005922,15
Bigelow Sandford,10006037,69
BigJobs,10006093,47
Bitstream,10006805,70
Biz-comm,10006836,16
Bizmarts,10006846,96
BizNet Equity Management Trust (BEMT),10006848,87
BL Trading,10006862,71
Boott Cotton Mills Corporation,10006916,17
Borden Company,10006917,18
Boston and Albany Railroad Company,10006919,19
"Brazilian Traction, Light and Power Company",10006977,20
Brentano's,10006983,22
Bre-X,10007117,21
Brinco Ltd.,10007120,97
C & C  Design,10007121,48
C & J Engineering,10007122,72
C & M Distributors,10007123,73
C&C,10007134,23
C. Hoelzle Associates,10007163,24
C.O.F.,10007183,25
C3 Development,10007253,26
C3I,10007258,27
Cabco West,10007268,28
Cadtex,10007309,29
CAF Systemhaus,10007355,74
Cajun,10007448,30
CalComp,10007457,31
Caleidoscopio S.r.l.,10007468,32
Calypso,10007536,33
CAM Group,10007564,62
Cambio,10007566,49
Cam-Built Prpgramming Plus,10007577,88
Camelot IT,10007591,34
Camros,10007866,35
Canter,10008134,89
CAPCON,10008381,98
Capitola Works,10008593,50
Capitolnet Marketing Group (CMG),10008596,63
Caprica  Resources,10008602,90
CAPTA,10008638,91
Caravelle,10008893,99
Carden Jennings Publishing,10009156,51
Caribian Specialties,10000455,100
Central Soya Company,10009356,52
Champion International,10009606,36
"Chas T. Main, Inc.",10009623,64
City Fresh Foods,10000000,53
Clearout,10009631,94
"Dan River Mills, Inc.",10009633,37
Data General Corporation,10009639,38
"David L. Babson & Co., Inc.",10009642,54
David Spencer Ltd.,10009643,55
"Day and Zimmermann, Inc.",10009645,39
Dayton Malleable Inc.,10009647,95
Dayton Rubber Company,10009650,40
Dci,10009652,80
DCP Research,10009653,81
DCS International,10009654,65
DCS Laboratory,10009656,96
DC-Works,10009657,92
DDR,10009660,66
De La Rue (Thomas) and Company,10009662,93
De Postel,10009669,41
DEAC,10009672,97
Deak-Perera Group.,10009676,56
Debenhams Ltd.,10009679,67
Debian,10009697,68
Deere and Company,10009863,1
Degolyer and MacNaughton,10009885,82
Del Monte Corporation,10009907,69
"Dellovade, A.C./Dick Corp/Kendall",10026055,57
E Corp.,10009985,98
Earth,10010698,99
East,10010717,58
Échange CAC Exchange,10010832,2
ECI com,10010855,3
ECS Associates,10010865,4
Ed Stefanov,10010881,5
EDA Today,10010882,6
EDC S,10010884,83
EDGE Systems,10010886,100
Edia,10010887,75
Edify,10010897,70
eDistrict,10010904,59
ediSys,10010906,85
edit.nl,10010912,71
Editor,10010914,60
Edmark,10010923,7
Edna Design,10010935,42
Edorex Informatik,10010969,43
EDP,10010970,72
EDS,10010974,44
Elbit Oy,10010990,8
Eloi Companies,10011018,9
Elucidex,10011052,10
Embedded Support Tools (EST),10011089,11
EMC,10011093,12
e-MDs,10011198,84
Emergency,10011286,13
Emergent,10011345,14
Enterprises,10011355,15
Equitable Life Assurance Society,10011360,16
Estates,10025575,81
Ethyl Corporation,10011398,94
Exchange,10025298,78
F. & R. Lazarus and Company,10011459,73
Farmland Industries,10011499,17
Farr Alpaca Company,10011521,74
Farrell Lines Company,10011546,18
FCS,10011600,19
Federal Express Corporation,10011623,20
Federal Focus,10011724,76
Federated Co-Operatives Limited,10011732,21
Felidae Enterprises,10011734,62
FenP Innovators,10011821,22
Fentek Industries,10011842,23
Fenwick & West,10011870,24
Ferrari,10011918,25
Ferst,10011923,45
FiberPlex,10011979,26
FIBERWORKS,10011981,95
Fibronics,10011997,86
FICOM,10012023,27
Fifth Generation,10012128,28
Fifth Moon,10012157,29
Filene’s,10012158,30
Filetron,10012161,31
Fill It,10012226,46
Filmotype,10012234,96
Fimetrics Systems,10012235,77
FIND/SVP,10012305,32
Finder,10012328,33
Finest Host,10012369,34
Finisar,10012399,35
Finishing,10012422,63
Fins,10012425,47
Firehole,10012514,36
FireTrans,10012600,37
Fokas,10012715,87
G.R. Barron,10012761,39
Gadzoox Microsystems,10012792,40
Gaecom,10012799,41
Gailey Enterprises,10012851,1
Gainunion,10012885,2
Galaxy Marketing Associates,10012907,3
Galaxy Systems,10012927,4
Gamacles,10013011,5
Gamma One Conversions,10013039,6
GammaGraphX (GGX),10013052,7
Gammel Group,10013061,8
Gandalf Systems,10013079,9
Ganymede,10013080,10
Garbee and Garbee,10013127,11
Garlin Imports,10013137,12
Gartner Group,10013188,64
Garza Industries,10013232,48
Gastown space,10013238,49
Gate,10013252,65
Gate9th,10013312,13
GateMaster,10013332,14
Gatierf Publications,10013341,15
GCC Technologies,10013376,16
G-Com International,10013397,38
GDC,10013426,17
GDSS,10013467,97
GE Fanuc Automation,10013472,50
Geac,10013509,51
GEAR,10013538,18
GearSource,10013572,19
Gebbie Press,10013574,20
Gehlken Enterprises,10013670,21
Gemini Controls,10013765,52
Greymac Trust Company,10013870,22
"Grove Farm Co., Inc.",10013871,23
Grumman Corporation,10013899,24
Guarantee Mutual Life Company,10014043,25
Gulf and Western Industries,10014047,98
GURUs,10014059,26
H.H. Robertson Company,10014064,27
Harbor  Group,10014238,28
Harbour and Associates,10014264,53
Harte-Hanks (formerly Locator),10014469,54
Harts Unlimited,10014471,78
Harvard Trust Company,10014495,99
Harvey,10014533,55
HarveyOpolis,10014540,29
Hauppauge Works,10014546,100
Haz-Mat D-Zines,10014739,66
HBO & Company,10014779,88
HBS,10014802,30
HCHS,10014803,56
HCS,10014804,67
Healtheon,10014810,57
Hederman Brothers,10015011,31
Hegemony,10015030,94
Hekimian Laboratories,10015253,32
Helfand Enterprises,10015267,33
Helios,10015275,58
Helius,10015325,34
Henning Industrial,10015495,59
Hercules Incorporated,10015686,35
Hershey Chocolate Corporation,10015783,89
hesketh.com,10015789,36
Hetrick Systems,10015793,95
Heurikon,10015824,60
Hewlett Packard,10015886,37
Hidden Oak,10015956,38
High  Logistics (HTL),10016045,42
High Country Access,10016047,68
"Hill and Knowlton, Inc.",10016113,39
HMR,10016303,90
Hobart Manufacturing Company,10016334,43
Holy  Developers,10016542,69
Home Automation (HAI),10016548,70
Home Pages,10016549,71
Home Team,10016564,44
Homebound,10016588,72
Homestead Custom,10016609,79
iBEAM,10016780,40
IBEX,10016784,45
Ibis,10016807,46
IBVA,10016858,96
Icon,10017036,47
Icon Site Builders,10017054,48
Iconation,10017072,49
Id,10017290,41
Idyll Mountain,10017307,80
Idyllwild,10017314,73
iLanguage,10017553,50
Illuminati,10017576,74
Ilog,10017585,51
Information Bureau,10017638,91
J. S. Lee Associates,10017828,97
J.A. Bauer Pottery Company,10017852,1
J.M. Haggar,10018129,2
J.M. Schneider Inc.,10018146,81
Jerry’s,10004245,100
Johnson and Higgins,10018352,3
Jones and Laughlin Steel Corporation,10018363,4
Joy Line,10018371,5
K,10018518,6
K International,10018580,62
K&K Enterprises,10018603,7
K&M Enterprises,10018623,63
K.C. Irving,10018628,98
Kabbalah,10018644,52
Kaim Associates,10018665,92
Kari & Associates,10018867,53
Karickal Exports,10018868,8
Karsing,10018871,54
KAT Micro Distributing,10018877,9
Kawneer Company,10018885,99
Kazinformcom,10018890,55
Kendrick Jansen,10018950,10
Kennecott Copper Corporation,10018957,11
KENROB and Associates,10019066,12
Kensington Group,10019105,93
KentISP,10019109,100
Kentucky Utilities Company,10019150,64
Kerite Company,10019194,13
KeyComm,10019388,94
Keystar  Training,10019400,56
Keystone 2-Way,10019410,82
Keystroke Quality,10019420,14
kGS,10019469,15
KillerGraffix,10019502,16
Kim Tom Co,10019512,17
Kimball (W.W.) Company,10019514,18
Kool-Seal,10019617,65
"Koppers Company, Inc.",10019664,57
Labatt Brewing Company Ltd.,10019665,58
Laker Airways,10019678,95
Lamson and Session Company,10019682,59
Levi Strauss and Company,10019783,19
Lewis Grocer Company,10019812,20
Litton,10019879,66
Litton FiberCom,10019880,84
Livermore  Laboratories (LSLI),10019897,67
LiveWire BBS and   Favourite Links,10019900,96
LiveWORLD,10019909,60
Livezone Interactive,10019913,83
Lmao,10019942,42
Lobster Productions,10019952,21
Lucky,10020080,22
Lynn-Arthur Associates (LLA),10020171,85
Market,10020181,23
Matradi,10020184,68
MATRIX,10020192,97
Maui Island  (MIC),10020193,24
MaxBan,10020227,25
MaXpeed,10020239,26
MAXSTRAT,10020247,27
Maxtor,10020256,28
Maxwell Laboratories,10020266,29
Mb digital marketing,10020281,30
McGraw-Hill Publishing Company,10020306,31
Mead Corporation,10020323,32
Meals on Plates,10000460,69
Medics,10020332,33
Melville Shoe Corporation,10020340,34
Mersey Docks,10020364,35
"Metro-Goldwyn-Mayer, Inc.",10020388,86
"Miles Laboratories, Inc.",10020390,43
Minneapolis Star and Tribune Company,10020393,98
Molson Breweries,10020413,70
N.Graphics,10020445,44
NACSCORP,10020446,45
Nanao,10020448,75
Nancy Leffingwell Enterprises,10020449,36
Nbase,10020491,37
NBTel,10020492,38
NBX,10020515,39
NECX Direct,10020639,71
Neeka,10020647,87
Nematron,10020662,40
Neostar,10020663,99
Oki,10020672,41
Oklahoma  Marketing,10020684,72
Old Towne Creations,10020715,1
OnDeck Systems,10020849,2
One Planet Solutions,10020864,3
One World,10020868,4
Onebox,10020907,5
Onestar,10020909,46
Onetouch Interactive,10020914,73
Ottercom,10020915,47
Outbreak,10020927,48
OutPost Network,10020931,100
Output Enablers,10020962,88
Outsource Documents,10020982,6
Overdreams,10021006,7
Owl's Eye Productions,10021015,8
P.C.G. Associates,10021107,10
P.C'S,10021111,9
Pace,10021139,49
Pacel,10021145,74
Pacific Avionics,10021158,76
Pacific Bell,10021160,11
Pacific Group,10021185,94
Pacific Handheld,10021175,62
Pacific Matics,10021179,95
Pacific Sierra Research,10021184,96
Pacific West Enterprises,10021204,77
Pacific Voice,10021203,97
Pacifico,10021222,98
PacificServ,10021223,50
Packard Bell,10021231,51
Packet Design,10021232,12
PADL,10021239,13
PAGE,10021240,14
Page Marketing,10021242,15
Page Research,10021270,16
PageBoy,10021283,17
PagePoint,10021286,18
PageSites,10021297,19
PageWave,10021300,20
PageWeavers,10021302,21
Pallister Management,10021305,22
Palo Alto,10021331,23
Panasonic,10021350,24
Pangaea Systems,10021380,25
Panix,10021411,26
Panngea,10021412,99
Pantech International,10021415,52
Panzl,10021418,100
PAP (Maintenance),10021422,94
Paperless  Group,10021458,95
Papyrus,10021459,63
Papyrus Consultants,10021470,89
Parabole,10021472,78
Paracel,10021485,53
Paraclipse,10021494,27
Parian Development Group,10021575,28
Password Busters,10021641,29
Pathlight Data Systems,10021668,54
Patient,10021673,55
Patrick Townsend & Associates,10021677,30
Patton Enterprises,10021736,31
Paul Budde,10021750,32
PayMaxx,10021794,33
Payton Group International,10021800,34
Pick Professionals,10021802,35
Picka,10021804,36
PING,10021911,64
Ping,10021911,65
Pink Elephant,10021936,66
Pinnacle,10021962,90
Pinnacle Management Systems,10021977,56
Pinnacle Micro,10021986,57
Pinnacle Trading,10021996,91
PLAINFIELD ROOFING AND SHEET METAL,10026438,37
Puff,10025299,79
QualityLogic,10022166,38
Quallaby,10022167,39
QualServe,10022168,58
Quantex Microsystems,10022183,96
Quantum,10022201,40
Quantum 4Xyte  Architects,10022240,79
Quantum Group,10022249,67
Quantum Leap  Solutions,10022252,59
Qwest,10022423,60
R&J,10022431,92
R&R Group,10022434,97
R.J. Matter & Associates,10022444,42
R2J2,10022450,43
Ra Co Amo,10022456,98
Racal Recorders,10022470,68
Racal-Datacom,10022490,44
Radio Progressive MontrTal,10000601,69
Rave Association,10022678,93
Ravenwerks,10022687,80
Razorfish,10022725,70
RC,10022730,45
RC Micrographix,10022732,71
Rdlabs,10022746,41
Ready-to-Run,10022750,46
Real World,10022755,1
RealiDyne,10022764,72
Reflex Presentations,10022962,2
Relcom,10022978,3
Remedy,10023003,47
Renaissance Consulting,10023022,81
Renegade info Crew,10023023,48
Reuters Usability Group,10023212,99
Reveal Products,10023221,49
ReviewBooth,10023235,73
Revnet Systems,10023241,74
Revolutionary Systems,10023244,62
RFI Corporation,10023275,100
RKS,10023447,63
Road Warrior International,10023471,64
Robust Code,10023489,94
Safe,10023495,4
Safetynet,10023509,65
Sage,10023510,50
Sage  Group,10023511,5
Sagent,10023513,95
SAIC Wateridge,10023516,66
Salamander,10023524,67
Salamander Junction,10023538,68
Sarcom,10023703,6
SAS Distribution,10023715,51
SAS Institute,10023757,7
SASCO PC Products,10023759,69
SataMine,10023760,84
Satronix,10023778,96
SAT-SAGEM (usa),10023780,8
Saturnus Multi produkten,10023783,70
Satyam,10023785,52
Savetz Publishing,10023793,71
Science Applications International (SAIC),10023964,9
Scientific Atlanta,10024003,97
ScotGold Products,10024006,53
Scottish Highlands and Islands server,10024009,72
Screaming Solutions Ventures,10024010,54
Screen Digest,10024016,10
Screen Saver.com,10024022,98
Script Zone,10024034,82
Siemens Nixdorf,10024246,85
Sifton Properties Limited,10024248,99
Sigma,10024255,55
Sigma Duke,10024260,100
Signature,10024262,94
SignatureFactory,10024270,95
Smith Manufacturing Company,10024477,11
SNC Group,10024492,86
Soloman Brothers,10024499,73
Southam Inc.,10024524,56
Southern Company,10024541,57
Southwire Company,10024550,58
Sterling Armament Company,10024704,12
Stone Consolidated Corporation,10024725,74
Stone Container Corporation,10024743,96
Sun Microsystems,10024880,13
Systems of Missouri,10024915,14
T & S,10024916,15
T.F.C.,10024918,16
T.J.T. International,10024919,17
T.M. Denton Consultants,10024924,18
T3West,10024930,19
Tadpole,10024940,20
Tag Systems,10024942,21
TAGnology,10024999,59
Tailwind,10025021,60
Take 3,10025022,22
TAL (Tetherless Access Ltd.),10025023,83
Talarian,10025024,23
Taligent,10025025,97
Talkland,10025032,75
Tally Systems,10025033,98
Talou,10025034,99
Tampa Bay Interactive,10025036,42
Tampere,10025037,100
Tanager,10025038,87
Tandy Corporation,10025039,43
Tangent,10025040,62
Tao Group,10025049,94
Taos Mountain,10025051,95
Target,10025052,24
Target Marketing,10025061,44
TargetedListings,10025062,88
Taroch,10025063,25
Tartanchase,10025086,26
"Taskers of Andover, Ltd.",10025158,27
Tatters,10025213,28
Team ASA,10025237,76
Team Financial Management Systems,10025238,96
Teamaker,10025239,29
Teammax,10025241,30
Teamsolve,10025242,31
Teca-Print,10025243,63
TECC,10025246,77
Telesat Canada,10025247,89
Telus Corporation,10025248,97
Texasgulf Inc.,10025249,64
TICOR,10025250,65
Time Warner,10025251,45
Times Mirror Company,10025252,46
Today,10025264,98
Todd Shipyards Corporation,10025267,32
Toledo Edison Company,10025269,47
Towmotor Corporation,10025284,99
Transalta Utilities Corporation,10025285,66
TransCanada Pipelines Limited,10025287,48
Transylvania Company,10025288,33
Tredegar Company,10025289,100
Trend Line Corporation,10025291,49
Trust Company of Georgia,10025296,50
U.S. Robotics,10025300,90
U.S. West,10025302,67
UBF,10025304,34
Ubicco,10025305,94
UK Total.net,10025353,35
UKnames.net,10025359,36
Ultimate Group,10025392,37
Ultra-Image,10025418,38
Underwriters Laboratories,10025467,39
UniForum,10025495,68
Unimedya,10025508,80
Uniplex,10025511,95
UniPress,10025515,69
UNIS LUMIN,10025549,91
Unison Management Concepts,10025552,51
Unisys,10025558,70
Unisys STARS,10025560,71
Unitec Systems,10025571,52
United Stationers,10025583,92
United Switch,10025587,96
Universal Access,10025608,40
Userland,10025737,41
UTStarGate,10025758,72
UUmail,10025769,97
VA Research,10025771,93
ValiCert,10025778,98
Valley  Solutions,10025791,99
Valley Scribe,10025808,100
Valpatken,10025814,73
ValueClick,10025878,1
Vanstar,10025919,94
WarRoom Research,10026268,82
Warsun International,10026291,53
Wasabi,10026294,2
Watcom International,10026299,74
Wayne's  World,10026334,3
WBM Group,10026336,62
WDND,10026348,63
We Find It 4 U,10026355,95
Vector ,10026006,83
Vectrix,10026009,4
VEI,10026023,5
Velos Medical Informatics,10026038,6
Venable,10026062,64
Venred,10026078,54
Ventana s Group,10026081,7
White Oak Interactive,10026365,8
Xcert,10026521,9
XCOM,10026522,55
Xediom,10026532,56
Xenet,10026536,65
Xentec,10026560,57
Xetron,10026581,66
Xilinx,10026606,58
Xtreme,10026839,67
XVT,10026843,96
Xyplex,10026861,97
Xyratex,10026868,10
Your Site,10027050,59
YourFuture,10027053,60
ySecret,10027082,75
Yurie Systems,10027119,11
Zentrum für Interaktive Medien (ZIM),10027340,84
Zephyr,10027348,68
Zero Assumption Recovery,10027356,42
Zero G,10027370,12
Zero-Knowledge Systems,10027381,98
Zilog,10027560,69
ZipLip.Com,10027572,85
Zitel,10027575,70
zNET,10027583,43
Zocalo,10027629,44
