title,year,content_rating,genre,duration,gross,Internet Movie Database,Rotten Tomatoes,Metacritic
The Shawshank Redemption,1994,R,Drama            ,142,1963330,9.3,9.1,8.0
The Godfather,1972,R,Crime,175,28341469,9.2,9.8,10.0
The Dark Knight,2008,PG-13,Action,152,1344258,9.0,9.4,8.2
The Godfather: Part II,1974,R,Crime,202,134966411,9.0,9.7,9.0
Pulp Fiction,1994,R,Crime,154,1935047,8.9,9.4,9.4
Schindler's List,1993,R,Biography,195,534858444,8.9,9.7,9.3
The Lord of the Rings: The Return of the King,2003,PG-13,Adventure,201,930134,8.9,9.3,9.4
"The Good, the Bad and the Ugly",1966,R,Western            ,178,57300000,8.9,9.7,9.0
12 Angry Men,1957,Approved,Crime,96,1535170,8.9,10.0,9.6
Avengers: Infinity War,2018,PG-13,Action,149,107928762,8.7,8.3,6.8
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,Adventure,178,1012829,8.8,9.1,9.2
Inception,2010,PG-13,Action,148,96067179,8.8,8.6,7.4
Forrest Gump,1994,PG-13,Drama,142,1401164,8.8,7.2,8.2
Fight Club,1999,R,Drama            ,139,377845905,8.8,7.9,6.6
The Matrix,1999,R,Action,136,6100000,8.7,8.7,7.3
Goodfellas,1990,R,Biography,146,546853,8.7,9.6,8.9
The Lord of the Rings: The Two Towers,2002,PG-13,Adventure,179,379601,8.7,9.5,8.7
One Flew Over the Cuckoo's Nest,1975,R,Drama            ,133,665845272,8.7,9.4,8.0
Seven Samurai,1954,Not Rated,Adventure,207,1418566,8.7,10.0,9.8
Interstellar,2014,PG-13,Adventure,169,315544750,8.6,7.1,7.4
The Silence of the Lambs,1991,R,Crime,118,1718980,8.6,9.5,8.5
Se7en,1995,R,Crime,127,1491637,8.6,8.0,6.5
Saving Private Ryan,1998,R,Drama,169,1573724,8.6,9.2,9.0
Spirited Away,2001,PG,Animation,125,37030102,8.6,9.7,9.6
The Usual Suspects,1995,R,Crime,106,988556,8.6,8.9,7.7
City of God,2002,R,Crime,130,290475067,8.6,9.1,7.9
Life Is Beautiful,1997,PG-13,Comedy,116,1411085,8.6,8.0,5.9
It's a Wonderful Life,1946,PG,Drama,130,171479930,8.6,9.4,8.9
The Departed,2006,R,Crime,151,1267102,8.5,9.0,8.5
The Lion King,1994,G,Animation,88,342551365,8.5,9.3,8.3
Back to the Future,1985,PG,Adventure,116,782176,8.5,9.6,8.6
Gladiator,2000,R,Action,155,112000000,8.5,7.7,6.7
Whiplash,2014,R,Drama,107,266583,8.5,9.4,8.8
The Prestige,2006,PG-13,Drama,130,269061,8.5,7.5,6.6
Raiders of the Lost Ark,1981,PG,Action,115,1183361,8.5,9.5,8.5
Alien,1979,R,Horror,116,188020017,8.5,9.7,8.3
Apocalypse Now,1979,R,Drama,147,1050761,8.5,9.6,9.4
The Green Mile,1999,R,Crime,189,130742922,8.5,8.0,6.1
Psycho,1960,R,Horror,109,858137,8.5,9.7,9.7
Terminator 2,1991,R,Action,137,19501238,8.5,9.2,7.5
Memento,2000,R,Mystery,113,1198932,8.5,9.2,8.0
American History X,1998,R,Crime,119,100125643,8.5,8.3,6.2
The Intouchables,2011,R,Biography,112,1059654,8.5,7.4,5.7
Once Upon a Time in the West,1968,PG-13,Western            ,164,322740140,8.5,9.8,8.0
The Pianist,2002,R,Biography,150,1034958,8.5,9.5,8.5
Casablanca,1942,PG,Drama,102,216540909,8.5,9.7,10.0
Rear Window,1954,PG,Mystery,112,512829,8.5,10.0,10.0
Cinema Paradiso,1988,R,Drama            ,155,854833,8.5,9.0,8.0
Modern Times,1936,G,Comedy,87,510702,8.5,10.0,9.6
Django Unchained,2012,R,Drama,165,330423,8.4,8.7,8.1
The Shining,1980,PG-13,Drama,146,7270000,8.4,8.6,6.3
The Dark Knight Rises,2012,R,Action,164,134896,8.4,8.7,7.8
Braveheart,1995,R,Biography,178,19181,8.4,7.6,6.8
American Beauty,1999,PG,Drama            ,122,186425,8.4,8.8,8.6
Aliens,1986,G,Action,137,132384315,8.4,9.8,8.4
The Lives of Others,2006,PG,Drama,137,867023,8.4,9.2,8.9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG-13,Comedy            ,95,210609762,8.4,9.9,9.6
3 Idiots,2009,PG-13,Comedy,170,1136687,8.4,10.0,6.7
Princess Mononoke,1997,PG,Animation,134,187705427,8.4,9.2,7.6
Citizen Kane,1941,R,Drama,119,554499,8.4,10.0,10.0
Das Boot,1981,PG,Adventure,149,13092000,8.4,9.8,8.6
Inglourious Basterds,2009,G,Adventure,153,78900000,8.3,8.8,6.9
2001: A Space Odyssey,1968,G,Adventure,149,517652,8.3,9.2,8.2
Toy Story,1995,R,Animation,81,83471511,8.3,10.0,9.5
Taxi Driver,1976,R,Crime,114,936295,8.3,9.8,9.4
A Clockwork Orange,1971,G,Crime,136,136801374,8.3,8.9,7.8
Toy Story 3,2010,R,Animation,103,499468,8.3,9.9,9.2
Requiem for a Dream,2000,PG-13,Drama            ,102,32000000,8.3,7.8,6.8
Batman Begins,2005,R,Action,140,854482,8.3,8.4,7.0
Scarface,1983,PG,Crime,170,204843350,8.3,8.2,6.5
Full Metal Jacket,1987,R,Drama,116,25544867,8.3,9.3,7.6
Good Will Hunting,1997,R,Drama            ,126,899722,8.3,9.7,7.0
Eternal Sunshine of the Spotless Mind,2004,R,Drama,108,6719864,8.3,9.3,8.9
Snatch,2000,R,Comedy,102,622183,8.3,7.3,5.5
L.A. Confidential,1997,R,Crime,138,13182281,8.3,9.9,9.0
Reservoir Dogs,1992,PG,Crime,99,255126,8.3,9.1,7.9
Indiana Jones and the Last Crusade,1989,R,Action,127,594442,8.3,8.8,6.5
For a Few Dollars More,1965,R,Western            ,132,32572577,8.3,9.4,7.4
The Hunt,2012,R,Drama,115,449102,8.3,9.4,7.7
